,actors,p_UM,p_TM,p_UF,p_TF
222,CaptainJimDandy,0.8736685624154037,0.8248280851983615,0.8819307049993608,
223,CarlAntoine,0.8735072438069592,0.8451903665137903,0.8195206038549183,
224,CarlNuttall1,0.8168260955828688,0.8039516498644459,0.8763527551642902,
225,CarlaSpade,0.8257256703676333,0.8094272850338654,0.8854440341373844,0.872577882915307
226,Carlfletcher15,0.8496214586169744,0.791698670709962,,0.7722088218420492
228,CaroleMagoha,0.7870673462421613,0.8272107794854429,,
243,Claire33Claire,0.7992285468830672,0.831362167531102,0.8481493738464707,
246,ClimateAudit,0.899554775870379,0.7933650263638254,,0.7422132274641142
249,ClubBayern,0.8127562756354618,0.785707000394283,0.8987008080155051,0.8626349325822467
254,Cornish_Damo,0.863471504342977,0.7839645320978007,,0.848660739879606
255,Cosmopolitka,0.8427330276026694,0.8072368704910584,0.8778326991393213,
260,Curious_Chak,0.697871499633901,0.8622747062239,,0.9064964154252126
262,Cybrarian64,0.8202829999915147,0.8553780486916194,0.9437432954610461,
263,Cyril_Matvech,0.8050143232820758,0.7460671511353387,,
266,DDERSS,0.8986837350400982,0.8595222161372125,0.8753470230687097,
268,DFBbear,0.8646800750716279,0.835488262512778,0.9082098294813059,0.9144529576931257
269,DJSiri,0.8225927380479461,0.8370470463796311,0.8628200486739159,0.845096072933416
270,DWPscumbags,0.8300277106745515,0.8489886545979177,,0.712100968292499
271,DailyMailUK,,0.7938095427853344,,0.7561257311222712
274,Daily_Star,,,,0.6832070843130907
278,DanKaszeta,0.8026747862879773,0.8469188116333035,,0.8310393456495879
286,DavidWMcDuff,,0.815447046487071,,0.8342267892600552
297,DerorCurrency,0.8477718550349169,0.748566336448179,0.8708918605569094,
299,Deus_Abscondis,0.8434364737106705,0.7778738087525077,,0.8597329972678743
302,DickMackintosh,0.8294266993778672,0.8107268232253154,,
310,Doozy_45,0.7495705652469331,0.8114178611283094,,
314,DowninJamaica,0.8662036797313389,0.8169245900013534,0.8628141679966277,
317,DrKassandraPari,0.9003321397922177,0.7724714160898838,0.8722540550907973,0.7991620834389211
321,DragoonGuard,0.8993815812538163,0.8442999674238914,0.8860436613445885,
327,DylanStrain,0.7523906731224477,0.7999353205482304,,0.8290063909682843
332,EdWardMDBlog,0.8055412532555952,0.7517151568598234,0.8206093101640957,
337,ElContador2000,0.8826526167273513,0.8955399017667866,0.8751254872861387,
339,ElenaOxara222,0.810764556232556,0.778571557006777,0.913793882236004,
344,EliotHiggins,0.8135955588056982,0.8074771081743446,,
346,EllenBarryNYT,0.7542851558562835,0.7928631493940876,,
